student_id,sleep_hours,study_hours_per_day,heart_rate_bpm,academic_workload,caffeine_intake_mg,physical_activity_min,social_interaction_hrs,gpa,perceived_control,stress_level
STU_038,3.6,5.0,84,7,180.0,16.0,2.7,2.25,1,High Stress
STU_039,4.5,8.5,66,3,271.0,56.0,1.9,3.11,5,Medium Stress
STU_040,6.8,4.6,71,2,239.0,38.0,2.7,3.25,6,No Stress
STU_041,7.6,8.1,71,6,292.0,70.0,4.4,2.31,3,Medium Stress
STU_042,6.8,3.2,69,2,155.0,57.0,3.1,3.78,9,No Stress
STU_043,6.3,7.3,69,3,270.0,38.0,4.0,3.79,10,No Stress
STU_044,6.0,9.6,72,6,332.0,73.0,3.5,3.09,6,Medium Stress
STU_045,4.3,1.0,75,5,101.0,18.0,2.7,2.73,4,Low Stress
STU_046,5.4,4.0,80,8,213.0,56.0,1.6,3.23,7,Medium Stress
STU_047,5.8,7.4,86,9,292.0,60.0,3.9,3.68,8,Medium Stress
STU_048,8.1,5.5,72,3,165.0,49.0,4.3,3.6,9,No Stress
STU_049,7.0,6.9,87,10,275.0,73.0,3.2,2.86,6,High Stress
STU_050,3.9,4.5,75,3,219.0,30.0,2.1,3.0,6,Low Stress
STU_051,7.0,6.2,66,3,223.0,56.0,2.1,3.48,8,No Stress
STU_052,5.9,5.6,77,6,252.0,49.0,3.3,3.15,5,Medium Stress
STU_053,5.5,8.9,64,1,361.0,41.0,1.9,2.66,3,Medium Stress
STU_054,7.4,6.6,81,7,298.0,67.0,2.6,2.37,3,High Stress
STU_055,8.0,6.8,58,1,292.0,70.0,2.8,3.58,6,No Stress
STU_056,7.9,5.0,81,5,196.0,31.0,4.8,2.41,2,Low Stress
STU_057,5.2,4.8,89,10,254.0,61.0,2.1,3.34,6,High Stress
STU_058,6.0,4.9,92,8,217.0,21.0,4.2,3.05,6,Medium Stress
STU_059,7.0,7.0,69,4,294.0,67.0,3.1,3.55,8,No Stress
STU_060,8.0,4.9,73,5,194.0,75.0,2.6,3.43,7,No Stress
STU_061,5.8,6.7,83,4,271.0,28.0,2.0,3.68,8,Low Stress
STU_062,6.2,11.2,72,4,415.0,41.0,4.1,3.83,9,Low Stress
STU_063,4.8,8.2,82,8,332.0,22.0,2.3,3.25,6,High Stress
STU_064,4.7,5.2,64,2,283.0,35.0,1.9,2.48,3,Low Stress
STU_065,7.7,9.0,67,1,324.0,52.0,4.0,3.69,10,No Stress
STU_066,8.5,5.0,61,3,177.0,73.0,4.7,2.61,3,No Stress
STU_067,6.4,1.0,81,9,129.0,68.0,4.1,2.37,1,Medium Stress
STU_068,8.0,3.5,69,4,166.0,79.0,5.2,2.86,5,No Stress
STU_069,7.0,1.3,89,10,75.0,44.0,3.2,2.93,4,Medium Stress
STU_070,5.5,5.1,78,5,260.0,40.0,1.7,3.91,9,Low Stress
STU_071,7.0,6.0,72,2,242.0,27.0,3.2,3.44,9,No Stress
STU_072,8.8,10.2,76,4,462.0,51.0,4.6,2.73,5,Low Stress
STU_073,6.4,6.8,63,2,308.0,63.0,2.4,3.77,10,No Stress
STU_074,8.8,5.5,60,2,228.0,87.0,3.6,2.78,4,No Stress
STU_075,3.5,8.1,76,4,398.0,12.0,2.0,3.16,7,High Stress
STU_076,7.7,1.0,80,6,67.0,47.0,3.8,3.35,6,No Stress
STU_077,6.6,6.6,83,7,303.0,49.0,3.3,2.8,4,High Stress
STU_078,6.1,7.9,89,10,335.0,51.0,2.4,3.81,10,High Stress
STU_079,6.6,2.3,76,3,170.0,37.0,3.1,2.07,2,No Stress
STU_080,3.5,8.9,68,3,408.0,37.0,1.0,2.0,1,High Stress
STU_081,6.2,6.8,94,10,289.0,40.0,3.8,2.78,4,High Stress
STU_082,7.0,5.0,82,6,202.0,52.0,4.3,2.29,4,Low Stress
STU_083,8.7,7.6,69,3,330.0,70.0,2.9,2.38,1,Low Stress
STU_084,5.7,11.7,74,2,439.0,44.0,2.1,3.05,6,Medium Stress
STU_085,5.3,6.5,80,8,338.0,35.0,1.5,3.37,4,High Stress
STU_086,5.7,6.6,74,5,285.0,43.0,2.3,2.64,1,High Stress
STU_087,7.9,4.9,62,1,211.0,56.0,3.9,2.14,1,No Stress
STU_088,7.0,3.9,73,3,192.0,46.0,2.3,2.16,1,Low Stress
STU_089,5.7,8.1,86,10,293.0,40.0,2.1,3.64,8,High Stress
STU_090,7.3,3.9,81,8,157.0,78.0,2.8,4.0,10,No Stress
STU_091,6.6,6.2,75,4,303.0,58.0,3.5,3.11,8,No Stress
STU_092,8.0,4.8,81,7,198.0,54.0,4.1,2.0,2,Medium Stress
STU_093,5.4,7.2,88,10,271.0,53.0,2.1,3.14,7,High Stress
STU_094,6.0,6.8,66,2,304.0,41.0,3.1,3.56,8,No Stress
STU_095,5.9,8.6,76,7,387.0,63.0,2.5,3.54,8,Medium Stress
STU_096,4.3,4.7,80,5,236.0,41.0,1.9,4.0,10,Low Stress
STU_097,6.9,5.3,77,5,265.0,50.0,4.8,3.02,7,No Stress
STU_098,6.9,3.6,76,6,153.0,58.0,4.5,2.44,5,No Stress
STU_099,6.5,4.9,87,9,179.0,25.0,2.2,2.35,1,High Stress
STU_100,6.1,6.9,74,6,337.0,30.0,3.7,3.45,9,Low Stress
STU_101,4.4,7.9,84,8,317.0,18.0,2.8,2.86,7,High Stress
STU_102,5.9,3.7,86,7,172.0,48.0,2.0,2.39,2,High Stress
STU_103,6.0,8.2,78,9,377.0,72.0,3.7,3.24,6,High Stress
STU_104,5.3,9.4,69,4,396.0,75.0,3.9,2.34,2,High Stress
STU_105,6.3,7.0,69,2,309.0,57.0,2.3,2.09,1,Medium Stress
STU_106,7.1,10.7,75,7,489.0,60.0,2.8,3.23,7,High Stress
STU_107,9.3,4.1,80,6,174.0,39.0,5.5,2.29,2,Low Stress
STU_108,6.8,2.9,69,1,179.0,43.0,3.6,2.09,2,No Stress
STU_109,6.9,1.6,87,9,108.0,40.0,3.9,2.76,5,Low Stress
STU_110,6.4,9.7,95,9,398.0,39.0,3.5,3.0,5,High Stress
STU_111,3.6,7.6,66,2,362.0,29.0,2.1,3.32,7,Low Stress
STU_112,6.5,5.9,74,3,272.0,42.0,2.2,2.21,1,Medium Stress
STU_113,6.6,6.7,79,5,301.0,20.0,4.1,3.24,8,Low Stress
STU_114,9.5,3.2,73,5,194.0,78.0,5.7,2.5,3,No Stress
STU_115,6.2,12.0,69,1,459.0,31.0,2.9,2.28,4,Medium Stress
STU_116,7.0,6.3,79,8,245.0,56.0,3.5,3.66,9,Low Stress
STU_117,6.4,6.3,79,8,239.0,80.0,2.0,3.01,4,High Stress
STU_118,4.7,7.8,71,4,264.0,24.0,2.8,3.51,10,Low Stress
STU_119,8.2,7.2,86,7,364.0,21.0,4.6,2.78,5,Medium Stress
STU_120,7.6,6.6,88,10,248.0,51.0,3.8,3.33,7,Medium Stress
STU_121,7.7,4.0,68,3,183.0,73.0,4.7,2.97,4,No Stress
STU_122,5.1,7.2,78,6,294.0,70.0,2.3,2.09,1,High Stress
STU_123,8.6,10.7,90,10,434.0,43.0,4.8,3.48,9,High Stress
STU_124,4.4,9.4,89,10,403.0,44.0,1.4,2.33,4,High Stress
STU_125,7.4,10.0,83,9,426.0,47.0,3.7,3.64,9,High Stress
STU_126,9.5,4.7,61,1,197.0,65.0,4.6,3.49,6,No Stress
STU_127,5.0,3.5,74,5,167.0,80.0,2.7,2.24,1,Medium Stress
STU_128,5.7,5.7,81,4,258.0,22.0,2.6,2.54,3,Medium Stress
STU_129,6.6,6.1,81,8,256.0,53.0,3.2,2.42,2,High Stress
STU_130,5.7,8.7,65,1,403.0,51.0,3.5,3.62,9,No Stress
STU_131,4.2,1.8,82,9,128.0,51.0,1.8,2.02,1,High Stress
STU_132,6.6,9.8,81,6,415.0,51.0,2.0,3.78,9,Medium Stress
STU_133,4.9,5.6,75,4,266.0,44.0,3.8,3.67,9,No Stress
STU_134,7.2,4.9,91,9,257.0,47.0,4.7,3.44,8,Low Stress
STU_135,5.1,3.5,73,5,178.0,45.0,1.5,3.24,8,Low Stress
STU_136,8.8,1.9,73,5,78.0,58.0,5.0,2.44,1,No Stress
STU_137,5.3,8.1,76,5,345.0,51.0,2.2,3.57,8,Medium Stress
STU_138,6.0,6.2,68,1,247.0,40.0,3.2,3.69,10,No Stress
STU_139,7.7,2.8,63,1,132.0,62.0,4.1,2.74,3,No Stress
STU_140,4.7,2.8,82,8,166.0,38.0,2.2,3.16,7,Medium Stress
STU_141,6.8,5.2,82,8,269.0,68.0,2.8,2.02,1,High Stress
STU_142,8.5,10.2,78,6,408.0,60.0,3.7,2.03,1,High Stress
STU_143,4.1,5.4,76,4,248.0,8.0,1.3,3.45,10,Low Stress
STU_144,6.8,2.2,69,2,178.0,70.0,2.7,2.99,5,No Stress
STU_145,6.9,5.4,73,2,246.0,38.0,3.4,2.53,5,No Stress
STU_146,7.7,5.3,86,9,314.0,46.0,3.3,3.19,8,Medium Stress
STU_147,4.6,1.0,78,5,102.0,29.0,2.8,2.84,7,No Stress
STU_148,4.5,5.9,73,4,204.0,58.0,3.4,3.42,8,No Stress
STU_149,7.3,5.4,89,10,262.0,22.0,3.2,3.05,6,High Stress
STU_150,6.9,7.7,59,1,331.0,90.0,3.6,3.01,6,No Stress
STU_151,6.9,10.6,71,7,460.0,67.0,3.8,2.15,2,High Stress
STU_152,7.0,8.8,72,3,378.0,55.0,3.9,2.85,6,Low Stress
STU_153,5.5,5.3,74,6,231.0,42.0,2.8,2.99,5,Medium Stress
STU_154,6.8,3.2,79,5,125.0,55.0,4.0,2.43,3,Low Stress
STU_155,6.9,12.0,73,5,464.0,59.0,3.8,3.14,6,High Stress
STU_156,5.4,6.1,74,5,238.0,52.0,1.7,3.26,8,Low Stress
STU_157,9.3,6.0,60,1,243.0,74.0,5.3,3.66,9,No Stress
STU_158,7.2,5.9,63,1,274.0,55.0,4.3,2.44,1,No Stress
STU_159,4.7,6.5,77,3,328.0,35.0,1.7,2.66,3,Medium Stress
STU_160,7.5,5.6,80,10,258.0,53.0,3.8,2.46,3,High Stress
STU_161,5.0,4.6,78,4,175.0,37.0,3.0,3.49,8,No Stress
STU_162,7.7,4.6,73,5,224.0,73.0,3.7,2.13,1,Low Stress
STU_163,8.2,5.9,61,2,292.0,68.0,5.0,2.9,5,No Stress
STU_164,5.3,4.6,87,8,193.0,0.0,4.5,2.47,3,High Stress
STU_165,7.9,4.2,70,2,193.0,67.0,3.3,2.33,2,No Stress
STU_166,7.1,6.3,81,9,271.0,56.0,2.4,3.48,8,Medium Stress
STU_167,7.7,5.4,63,2,215.0,56.0,4.1,2.34,3,No Stress
STU_168,9.3,9.8,87,9,412.0,60.0,5.2,3.06,7,Medium Stress
STU_169,6.1,1.0,79,7,81.0,63.0,2.9,2.0,1,Medium Stress
STU_170,5.4,8.7,79,8,367.0,57.0,3.9,2.76,6,High Stress
STU_171,5.2,9.1,71,2,342.0,30.0,1.5,2.3,3,High Stress
STU_172,5.3,1.0,77,7,72.0,48.0,3.2,3.47,8,No Stress
STU_173,6.4,5.1,83,6,250.0,34.0,2.7,2.9,6,Medium Stress
STU_174,7.0,5.1,79,4,217.0,31.0,4.9,2.46,2,Low Stress
STU_175,6.9,2.5,83,7,189.0,42.0,5.0,3.09,6,No Stress
STU_176,7.7,4.1,71,4,182.0,69.0,3.2,2.87,7,No Stress
STU_177,6.5,3.2,71,2,169.0,63.0,2.8,3.03,5,No Stress
STU_178,8.7,10.4,84,10,442.0,70.0,5.0,2.7,3,High Stress
STU_179,6.1,8.3,75,7,298.0,57.0,2.7,2.52,4,High Stress
STU_180,9.5,9.2,80,8,319.0,75.0,4.7,2.8,4,Medium Stress
STU_181,7.4,7.8,75,2,277.0,45.0,3.7,2.91,6,No Stress
STU_182,5.2,3.2,72,5,200.0,48.0,1.1,3.82,10,No Stress
STU_183,4.9,4.7,64,1,198.0,51.0,2.4,2.0,1,Low Stress
STU_184,7.2,7.2,79,7,379.0,65.0,3.0,2.36,4,High Stress
STU_185,6.2,2.9,80,8,135.0,65.0,2.7,3.72,10,No Stress
STU_186,7.6,7.8,72,6,329.0,66.0,5.0,2.7,4,Medium Stress
STU_187,7.2,5.4,77,5,285.0,58.0,2.6,3.72,10,No Stress
STU_188,6.4,5.1,82,6,289.0,64.0,3.9,2.0,1,Medium Stress
STU_189,5.2,7.8,69,2,385.0,41.0,2.4,3.54,9,No Stress
STU_190,4.2,7.1,66,1,335.0,22.0,1.9,2.77,4,Medium Stress
STU_191,5.8,5.1,77,7,259.0,42.0,3.5,3.25,7,Low Stress
STU_192,7.8,8.9,81,7,379.0,46.0,4.2,2.58,3,High Stress
STU_193,6.8,3.3,92,10,189.0,41.0,3.9,3.67,10,Low Stress
STU_194,4.6,7.5,91,10,296.0,35.0,3.1,2.77,3,High Stress
STU_195,6.8,7.5,69,2,288.0,39.0,3.1,3.2,8,No Stress
STU_196,7.1,5.2,66,2,232.0,48.0,3.1,3.54,8,No Stress
STU_197,5.2,6.8,67,1,283.0,13.0,1.7,2.42,1,Medium Stress
STU_198,6.7,2.9,90,10,138.0,53.0,2.7,3.9,10,Low Stress
STU_199,6.6,8.3,85,8,361.0,50.0,5.7,2.32,2,High Stress
STU_200,4.8,5.5,81,8,271.0,27.0,3.4,3.33,8,Medium Stress
STU_201,7.0,4.7,68,1,217.0,62.0,2.4,2.39,1,No Stress
STU_202,7.3,8.6,82,8,395.0,68.0,2.6,3.16,8,Medium Stress
STU_203,8.1,4.2,92,9,163.0,34.0,4.4,3.25,8,Low Stress
STU_204,8.1,2.5,69,4,132.0,47.0,4.5,2.28,2,No Stress
STU_205,4.4,2.1,65,1,102.0,25.0,2.6,2.97,4,No Stress
STU_206,5.1,7.5,68,1,257.0,27.0,2.3,3.16,6,Low Stress
STU_207,7.3,2.8,69,3,146.0,66.0,3.5,3.43,9,No Stress
STU_208,7.3,10.4,80,5,410.0,51.0,3.9,3.38,8,Low Stress
STU_209,7.3,1.0,77,5,130.0,50.0,3.7,3.32,8,No Stress
STU_210,9.5,10.2,86,9,426.0,37.0,3.0,3.12,7,High Stress
STU_211,7.4,6.5,82,10,247.0,64.0,3.5,3.82,9,Medium Stress
STU_212,8.2,5.8,73,2,309.0,41.0,3.4,2.09,2,Low Stress
STU_213,7.9,4.6,63,2,248.0,58.0,4.1,2.86,3,No Stress
STU_214,7.5,7.0,81,6,312.0,59.0,6.0,3.97,10,No Stress
STU_215,6.0,5.9,82,9,250.0,66.0,3.3,3.66,8,Medium Stress
STU_216,7.6,8.8,72,1,329.0,36.0,3.5,2.99,6,No Stress
STU_217,5.3,6.3,95,9,259.0,0.0,3.4,3.77,10,Medium Stress
STU_218,6.1,6.4,85,9,307.0,49.0,3.4,3.33,9,Medium Stress
STU_219,5.8,5.1,80,9,285.0,72.0,3.2,3.7,10,Low Stress
STU_220,6.6,5.9,71,5,303.0,68.0,3.8,2.82,4,Low Stress
STU_221,9.5,6.8,83,9,273.0,70.0,6.0,3.7,8,Low Stress
STU_222,3.7,1.7,76,4,76.0,25.0,0.9,3.58,10,No Stress
STU_223,7.5,2.6,63,2,145.0,67.0,4.1,2.47,3,No Stress
STU_224,4.1,7.9,82,6,273.0,20.0,1.3,2.51,3,High Stress
STU_225,5.8,6.4,72,4,284.0,52.0,3.3,3.16,8,No Stress
STU_226,8.1,5.5,69,6,238.0,66.0,3.3,3.02,5,Low Stress
STU_227,6.6,6.0,69,3,246.0,66.0,3.0,2.4,3,Low Stress
STU_228,4.9,6.9,70,6,244.0,81.0,2.2,3.76,10,Low Stress
STU_229,5.4,4.7,64,2,230.0,48.0,3.5,2.09,1,Low Stress
STU_230,7.5,4.1,63,2,178.0,47.0,4.5,2.38,3,No Stress
STU_231,5.4,6.5,81,9,242.0,42.0,1.7,3.62,9,High Stress
STU_232,6.8,3.6,80,7,90.0,24.0,3.4,2.86,5,Low Stress
STU_233,6.6,7.0,70,3,294.0,39.0,2.7,3.73,10,No Stress
STU_234,5.5,1.7,73,1,163.0,37.0,1.7,2.21,2,No Stress
STU_235,9.5,8.6,80,8,401.0,59.0,4.6,3.32,7,Medium Stress
STU_236,7.5,7.2,77,6,288.0,57.0,3.5,2.69,2,Medium Stress
STU_237,3.5,6.6,86,7,263.0,19.0,3.7,2.75,4,High Stress
STU_238,6.8,8.5,83,9,362.0,68.0,3.7,3.46,7,High Stress
STU_239,5.5,10.2,76,5,377.0,43.0,1.6,2.44,4,High Stress
STU_240,7.8,8.5,60,1,357.0,57.0,3.4,3.29,7,No Stress
STU_241,5.3,1.4,94,10,122.0,37.0,3.5,3.04,7,Medium Stress
STU_242,6.3,2.8,85,7,185.0,50.0,4.8,2.0,1,Medium Stress
STU_243,7.3,4.4,68,5,201.0,66.0,2.4,2.93,6,No Stress
STU_244,7.8,6.1,68,3,257.0,44.0,2.4,3.86,9,No Stress
STU_245,4.7,7.3,87,9,279.0,28.0,3.8,2.55,2,High Stress
STU_246,6.0,4.2,63,1,172.0,41.0,3.3,2.59,3,No Stress
STU_247,5.8,6.5,70,1,271.0,25.0,2.2,3.49,10,No Stress
STU_248,5.5,4.1,66,1,205.0,31.0,3.2,2.86,5,No Stress
STU_249,9.1,4.5,75,3,235.0,57.0,2.4,3.68,9,No Stress
STU_250,7.1,2.5,79,6,113.0,66.0,3.6,2.76,4,No Stress
STU_251,4.6,3.7,89,10,224.0,42.0,2.6,2.0,1,High Stress
STU_252,7.9,2.6,72,3,133.0,60.0,4.7,2.54,4,No Stress
STU_253,9.5,3.6,81,8,175.0,80.0,3.9,3.07,6,No Stress
STU_254,8.0,8.6,85,10,329.0,56.0,4.1,3.01,5,High Stress
STU_255,4.2,3.6,66,2,103.0,41.0,1.4,2.0,1,Medium Stress
STU_256,5.8,12.0,86,9,497.0,43.0,3.1,2.69,4,High Stress
STU_257,8.4,7.2,70,3,324.0,64.0,3.5,3.11,6,No Stress
STU_258,5.4,6.5,78,5,269.0,34.0,2.4,3.97,10,Low Stress
STU_259,7.2,3.9,88,10,189.0,17.0,2.8,3.94,10,Low Stress
STU_260,7.7,7.8,79,8,338.0,54.0,4.4,2.84,4,High Stress
STU_261,5.1,4.6,65,2,164.0,62.0,3.2,3.46,9,No Stress
STU_262,6.4,6.3,75,6,255.0,62.0,3.0,2.52,5,Medium Stress
STU_263,3.5,12.0,82,5,494.0,45.0,1.8,3.36,8,High Stress
STU_264,5.0,5.8,82,10,215.0,59.0,1.3,3.82,9,High Stress
STU_265,6.1,8.9,87,9,370.0,48.0,2.8,4.0,10,High Stress
STU_266,4.6,4.2,81,5,156.0,41.0,2.3,3.04,5,Medium Stress
STU_267,8.9,5.9,74,2,270.0,54.0,6.0,3.17,6,No Stress
STU_268,4.4,10.4,76,5,413.0,32.0,1.3,2.26,1,High Stress
STU_269,5.8,4.4,73,4,156.0,54.0,4.1,3.15,7,No Stress
STU_270,6.7,10.5,79,7,452.0,68.0,4.1,2.69,4,High Stress
STU_271,8.7,7.8,77,6,301.0,60.0,4.6,2.69,2,Medium Stress
STU_272,4.3,4.6,70,2,187.0,29.0,3.6,2.71,5,No Stress
STU_273,8.2,7.6,75,5,322.0,59.0,4.4,2.86,3,Medium Stress
STU_274,6.5,8.4,71,7,378.0,58.0,3.6,3.02,6,Medium Stress
STU_275,5.0,7.6,87,7,286.0,18.0,2.5,3.71,8,High Stress
STU_276,7.2,2.1,80,5,125.0,19.0,4.6,2.98,7,No Stress
STU_277,6.8,4.2,85,9,210.0,43.0,4.3,2.66,3,High Stress
STU_278,5.6,5.4,82,4,260.0,25.0,2.3,3.29,8,Low Stress
STU_279,6.6,5.8,69,3,258.0,42.0,2.2,2.08,2,Medium Stress
STU_280,5.9,7.6,72,4,305.0,43.0,2.8,3.84,10,No Stress
STU_281,6.7,6.4,82,5,249.0,43.0,2.7,3.82,9,No Stress
STU_282,7.5,2.7,71,6,147.0,77.0,3.7,2.55,4,No Stress
STU_283,8.9,7.0,66,3,263.0,68.0,5.4,2.0,1,No Stress
STU_284,4.6,7.5,68,2,225.0,42.0,1.9,3.42,8,Low Stress
STU_285,9.5,7.4,71,4,322.0,76.0,4.7,3.24,7,No Stress
STU_286,3.6,8.7,81,5,382.0,15.0,1.8,3.01,5,High Stress
STU_287,6.3,8.1,67,4,263.0,63.0,3.8,3.99,10,No Stress
STU_288,7.4,7.1,68,3,268.0,53.0,1.9,2.89,5,Low Stress
STU_289,6.9,5.8,79,8,272.0,61.0,3.0,3.63,7,Medium Stress
STU_290,5.6,1.8,91,10,175.0,28.0,3.0,2.94,5,High Stress
STU_291,6.2,7.1,78,4,299.0,24.0,4.1,3.37,8,Low Stress
STU_292,5.8,6.5,68,2,256.0,57.0,2.5,2.76,6,No Stress
STU_293,5.6,6.7,62,2,279.0,49.0,1.3,2.85,5,Low Stress
STU_294,7.8,2.8,69,1,189.0,43.0,4.4,3.55,9,No Stress
STU_295,7.0,3.3,75,4,146.0,39.0,3.0,2.55,2,Low Stress
STU_296,5.5,8.6,90,10,327.0,60.0,1.8,2.27,1,High Stress
STU_297,7.8,5.9,88,9,242.0,39.0,3.4,3.2,8,Medium Stress
STU_298,7.0,7.7,79,7,291.0,77.0,3.4,2.57,3,High Stress
STU_299,7.7,6.1,90,10,267.0,43.0,3.4,3.39,7,Medium Stress
STU_300,7.4,6.1,82,7,312.0,64.0,1.9,4.0,10,Low Stress
STU_301,5.3,8.3,84,7,350.0,37.0,3.4,3.62,8,Medium Stress
STU_302,5.7,4.7,82,8,207.0,53.0,3.9,3.23,6,Medium Stress
STU_303,7.6,6.2,72,1,258.0,47.0,4.3,3.81,10,No Stress
STU_304,7.4,4.8,90,10,171.0,52.0,2.8,3.7,9,Medium Stress
STU_305,6.5,4.9,89,10,248.0,50.0,3.1,3.51,7,Medium Stress
STU_306,6.7,5.2,81,8,230.0,35.0,3.3,3.53,10,Low Stress
STU_307,8.4,6.6,65,4,276.0,72.0,4.7,2.83,5,No Stress
STU_308,5.6,4.8,75,4,314.0,36.0,3.3,3.29,8,No Stress
STU_309,7.3,9.1,73,4,377.0,50.0,3.1,2.44,2,High Stress
STU_310,6.2,3.8,78,6,160.0,32.0,3.2,3.51,7,Low Stress
STU_311,6.2,5.5,87,7,230.0,9.0,3.5,2.6,4,High Stress
STU_312,8.1,4.9,81,6,256.0,56.0,5.2,3.14,9,No Stress
STU_313,7.7,9.6,61,1,389.0,90.0,4.4,2.1,1,Low Stress
STU_314,7.7,6.5,76,8,234.0,68.0,4.5,3.44,7,Low Stress
STU_315,8.5,8.6,86,10,379.0,61.0,4.3,3.19,6,High Stress
STU_316,6.5,2.3,78,7,110.0,45.0,4.4,3.53,8,No Stress
STU_317,7.5,6.7,76,6,341.0,55.0,4.1,2.84,5,Low Stress
STU_318,6.0,8.2,76,6,369.0,54.0,2.3,2.0,1,High Stress
STU_319,7.0,6.2,76,5,254.0,34.0,4.6,2.28,1,Medium Stress
STU_320,6.3,8.7,71,6,393.0,65.0,3.7,3.45,9,Low Stress
STU_321,6.6,4.7,83,9,217.0,60.0,2.9,4.0,10,Low Stress
STU_322,7.4,9.5,84,10,408.0,65.0,3.3,3.19,6,High Stress
STU_323,5.3,11.7,77,9,474.0,48.0,2.9,3.68,10,High Stress
STU_324,9.5,5.1,91,10,203.0,67.0,5.1,2.78,5,Medium Stress
STU_325,5.0,4.9,86,8,202.0,50.0,2.7,2.16,1,High Stress
STU_326,4.7,9.6,87,10,417.0,47.0,2.6,3.03,6,High Stress
STU_327,8.2,9.9,84,9,386.0,54.0,5.5,3.3,6,High Stress
STU_328,7.7,4.7,84,10,202.0,48.0,4.7,2.58,3,High Stress
STU_329,7.4,4.9,87,8,193.0,56.0,3.9,3.29,8,Low Stress
STU_330,7.4,5.3,84,8,248.0,78.0,4.5,2.56,1,High Stress
STU_331,6.5,2.6,68,1,203.0,30.0,2.4,2.19,1,No Stress
STU_332,5.2,3.7,95,10,147.0,19.0,2.9,3.23,6,High Stress
STU_333,6.6,3.5,75,5,173.0,52.0,4.7,3.68,10,No Stress
STU_334,5.5,4.1,69,4,236.0,44.0,2.6,2.25,1,Medium Stress
STU_335,8.0,5.9,65,2,254.0,61.0,3.3,3.14,6,No Stress
STU_336,6.3,6.6,83,8,295.0,51.0,2.6,2.0,1,High Stress
STU_337,5.3,9.9,70,3,365.0,38.0,1.8,3.48,6,Medium Stress
STU_338,6.0,3.5,69,4,185.0,68.0,2.4,2.8,3,Low Stress
STU_339,7.1,8.5,83,7,342.0,29.0,3.3,3.36,8,Medium Stress
STU_340,5.7,5.5,90,10,272.0,32.0,1.7,2.86,6,High Stress
